internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
219,Acinonyx jubatus,"Felis jubata Schreber, 1775",Felis,jubata,"Schreber, 1775",,
8539,Felis bieti,"Felis silvestris ssp. bieti Milne-Edwards, 1892",Felis,silvestris,,subspecies,"Milne-Edwards, 1892"
9948,Herpailurus yagouaroundi,"Felis yagouaroundi É. Geoffroy Saint-Hilaire, 1803",Felis,yagouaroundi,"É. Geoffroy Saint-Hilaire, 1803",,
9948,Herpailurus yagouaroundi,"Puma yagouaroundi (É. Geoffroy Saint-Hilaire, 1803)",Puma,yagouaroundi,"(É. Geoffroy Saint-Hilaire, 1803)",,
9948,Herpailurus yagouaroundi,"Herpailurus yagouaroundi (Lacépède, 1809) [name invalid]",Herpailurus,yagouaroundi,"(Lacépède, 1809) [name invalid]",,
15310,Leopardus geoffroyi,"Oncifelis geoffroyi (d'Orbigny & Gervais, 1844)",Oncifelis,geoffroyi,"(d'Orbigny & Gervais, 1844)",,
15311,Leopardus guigna,"Oncifelis guigna (Molina, 1782)",Oncifelis,guigna,"(Molina, 1782)",,
15452,Leopardus jacobita,"Oreailurus jacobita (Cornalia, 1865)",Oreailurus,jacobita,"(Cornalia, 1865)",,
15452,Leopardus jacobita,"Felis jacobita Cornalia, 1865",Felis,jacobita,"Cornalia, 1865",,
15452,Leopardus jacobita,"Oreailurus jacobitus (Cornalia, 1865) [orth. error]",Oreailurus,jacobitus,"(Cornalia, 1865) [orth. error]",,
15452,Leopardus jacobita,"Oreailurus jacobitus (Cornalia, 1865)",Oreailurus,jacobitus,"(Cornalia, 1865)",,
15955,Panthera tigris,"Felis tigris Linnaeus, 1758",Felis,tigris,"Linnaeus, 1758",,
18150,Prionailurus viverrinus,"Felis viverrina Bennett, 1833",Felis,viverrina,"Bennett, 1833",,
18306,Caracal aurata,"Profelis aurata (Temminck, 1827)",Profelis,aurata,"(Temminck, 1827)",,
22732,Panthera uncia,"Felis uncia Schreber, 1775",Felis,uncia,"Schreber, 1775",,
22732,Panthera uncia,"Uncia uncia (Schreber, 1775)",Uncia,uncia,"(Schreber, 1775)",,
4038,Catopuma temminckii,"Felis temminckii Vigors & Horsfield, 1827",Felis,temminckii,"Vigors & Horsfield, 1827",,
4038,Catopuma temminckii,"Pardofelis temminckii (Vigors &amp; Horsfield, 1827)",Pardofelis,temminckii,"(Vigors &amp; Horsfield, 1827)",,
15309,Leopardus colocolo,"Oncifelis colocolo (Molina, 1782)",Oncifelis,colocolo,"(Molina, 1782)",,
15309,Leopardus colocolo,"Lynchailurus colocolo (Molina, 1782)",Lynchailurus,colocolo,"(Molina, 1782)",,
11509,Leopardus pardalis,"Felis pardalis Linnaeus, 1758",Felis,pardalis,"Linnaeus, 1758",,
14519,Neofelis nebulosa,"Felis nebulosa Griffith, 1821",Felis,nebulosa,"Griffith, 1821",,
18868,Puma concolor,"Felis concolor Linnaeus, 1771",Felis,concolor,"Linnaeus, 1771",,
3847,Caracal caracal,"Felis caracal Schreber, 1776",Felis,caracal,"Schreber, 1776",,
4037,Catopuma badia,"Felis badia Gray, 1874",Felis,badia,"Gray, 1874",,
4037,Catopuma badia,"Pardofelis badia (Gray, 1874)",Pardofelis,badia,"(Gray, 1874)",,
15951,Panthera leo,"Felis leo Linnaeus, 1758",Felis,leo,"Linnaeus, 1758",,
15953,Panthera onca,"Felis onca Linnaeus, 1758",Felis,onca,"Linnaeus, 1758",,
11638,Leptailurus serval,"Caracal serval (Schreber, 1776)",Caracal,serval,"(Schreber, 1776)",,
15954,Panthera pardus,"Felis pardus Linnaeus, 1758",Felis,pardus,"Linnaeus, 1758",,
15640,Otocolobus manul,"Felis manul Pallas, 1776",Felis,manul,"Pallas, 1776",,
